540,1.18,562 Dominator,1.37   inv,2-237,1042605,812776,N/A,1067636,,68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,,,,,,,,,,,,,,
540,1.18,738 Adapter to Motor ,1.5,"2-237
2-349","1042605
1042670","812776
996132",84541,DNE,,"68973 (11)
256503 (13)","307223 (11)
307017 (13)",100156578,"118190 (11)
210484 (13)","310086 ( 11)
310094 (13)","44778
42614","26
60",,"2-237
2-349","1042605
1042670","812776
996132",84541,DNE,,"68973 (11)
256503 (13)","307223 (11)
307017 (13)",100156578,"118190 (11)
210484 (13)","310086 ( 11)
310094 (13)","44778
42614","26
60"
540,1.18,562 Dominator ,1.37   inv,2-237,1042605,812776,N/A,1067636,,68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,,,,,,,,,,,,,,
562,1.18,540,1.37,2-237,1042605,812776,N/A,251934,,68973 (11),307223 (11),N/A,118190 (11),310086 ( 11),05-Aug,26,,,,,,,,,,,,,,
562,1.18,562 Dominator ,1.37   inv,2-237,1042605,812776,N/A,1067636,,68973 (11),307223 (11),N/A,118190 (11),310086 ( 11),05-Aug,26,,,,,,,,,,,,,,
562,1.18,562 Dominator (high HP application) ,1.37 inv,2-237,1042605,812776,N/A,1277623 (HS),,68973 (11),307223 (11),N/A,118190 (11),310086 ( 11),05-Aug,26,,,,,,,,,,,,,,
738/562 (modular type) ,1.37 inv,562 Dominator ,1.37   inv,2-237,1042605,812776,N/A,100036663,,68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,,,,,,,,,,,,,,
738/540 ,1.5,540,1.37,2-237,1042605,812776,N/A,261982,,68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,,,,,,,,,,,,,,
738/562 ,1.5,540,1.37,2-237,1042605,812776,N/A,261982,,68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,,,,,,,,,,,,,,
738/562 (modular type) ,1.37 inv,540,1.37,2-237,1042605,812776,N/A,1298256,,68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,,,,,,,,,,,,,,
738/562 (modular type) ,1.5,562 Dominator ,1.37   inv,2-237,1042605,812776,N/A,1255629,,68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,,,,,,,,,,,,,,
738/562 (66L type) ,1.5,562 Dominator ,1.37   inv,2-237,1042605,812776,N/A,1255629,,68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,,,,,,,,,,,,,,
738/562 (modular type) ,1.50 inv,562 Dominator ,1.37   inv,2-237,1042605,812776,N/A,1297183,,68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,,,,,,,,,,,,,,
738,1.5,540 Adapter to Motor ,1.18,"2-349
2-237","1042670
1042605","996132
812776",84293,261974,,"256503 (13)
68973 (11)","307017 (13)
307223 (11)",892737,"210484 (13)
118190 (11)","310094 (13)
310086 (11)","13/16
44778","60
26",,"2-349
2-237","1042670
1042605","996132
812776",84293,261974,,"256503 (13)
68973 (11)","307017 (13)
307223 (11)",892737,"210484 (13)
118190 (11)","310094 (13)
310086 (11)","13/16
44778","60
26"
738,1.5,540 Adapter to Motor ,1.37,"2-349
2-237","1042670
1042605","996132
812776",84293,1308055,,"256503 (13)
68973 (11)","307017 (13)
307223 (11)",892737,"210484 (13)
118190 (11)","310094 (13)
310086 (11)","13/16
44778","60
26",,"2-349
2-237","1042670
1042605","996132
812776",84293,1308055,,"256503 (13)
68973 (11)","307017 (13)
307223 (11)",892737,"210484 (13)
118190 (11)","310094 (13)
310086 (11)","13/16
44778","60
26"
738,1.5,562 Dominator Adapter to Motor,1.37 inv,"2-349
2-237","1042670
1042605","996132
812776",84293,1255629,,"256503 (13)
68973 (11)","307017 (13)
307223 (11)",892737,"210484 (13)
118190 (11)","310094 (13)
310086 (11)","13/16
44778","60
26",,"2-349
2-237","1042670
1042605","996132
812776",84293,1255629,,"256503 (13)
68973 (11)","307017 (13)
307223 (11)",892737,"210484 (13)
118190 (11)","310094 (13)
310086 (11)","13/16
44778","60
26"
738,1.5,738 Dominator,2.00   inv,,,,,,,,,,,,,,,,,,,,,,,,,,,
950/738 ,2,540 Adapter to Motor,1.37,"2-349
2-237","1042670
1042605","996132
812776",84293,313072,,"256503 (13)
68973 (11)","307017 (13)
307223 (11)",892737,"210484 (13)
118190 (11)","310094 (13)
310086 (11)","13/16
44778","60
26",,"2-349
2-237","1042670
1042605","996132
812776",84293,313072,,"256503 (13)
68973 (11)","307017 (13)
307223 (11)",892737,"210484 (13)
118190 (11)","310094 (13)
310086 (11)","13/16
44778","60
26"
950/738 ,2.00 inv,562 Dominator Adaptor to Motor,1.37 inv,"2-349
2-237","1042670
1042605","996132
812776",84293,1179373,,"256503 (13)
68973 (11)","307017 (13)
307223 (11)",892737,"210484 (13)
118190 (11)","310094 (13)
310086 (11)","13/16
44778","60
26",,"2-349
2-237","1042670
1042605","996132
812776",84293,1179373,,"256503 (13)
68973 (11)","307017 (13)
307223 (11)",892737,"210484 (13)
118190 (11)","310094 (13)
310086 (11)","13/16
44778","60
26"
950/738 ,2.00 inv,738 Dominator ,2.00   inv,2-349,1042670,996132,N/A,2010746,,256503 (13),307017 (13),N/A,210484 (13),310094 (13),13/16,60,,,,,,,,,,,,,,
950/738 ,2,738 Dominator ,2.00   inv,2-349,1042670,996132,2004141,"0186049 +
2010743 +
2010746",,256503 (13),307017 (13),2007686,210484 (13),310094 (13),13/16,60,,,,,,,,,,,,,,
