sname,ps,sd,sname2,ps2,sd2,cpl,cpl_inc625,cpl_inc718,sa,csfa,rfa,osize,oaflas,ohsn,css,cslw,ms,mlw,sw,trq
"Maximus Protector
(FS) MaxJoint ",375/325/375 ,0.75,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100463335 + shims ,DNE ,DNE ,N/A ,N/A ,N/A ,2-227 ,1042555,996082,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Maximus Protector UT
(FS) MaxJoint ",387/387 ,0.87,Maximus ProMotor UT (FS) MaxJoint ,387/456 ,0.87/ 1.12 inv  ,0304444 + shims ,100567607 + shims ,100883098 + shims ,N/A ,N/A ,N/A ,2-035 ,100362894,100233372,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Maximus Protector UT
(FS) MaxJoint ",387/387 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,387/456 ,0.87,0304444 + shims ,100567607 + shims ,100883098 + shims ,N/A ,N/A ,N/A ,2-035 ,100362894,100233372,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Maximus Protector UT
(FS) MaxJoint ",400,0.87,Maximus ProMotor UT (FS) MaxJoint ,387/456 ,0.87/ 1.12 inv  ,0304444 + shims ,100567607 + shims ,100883098 + shims ,N/A ,N/A ,N/A ,2-035 ,100362894,100233372,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Maximus Protector UT
(FS) MaxJoint ",400,0.87,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,0304444 + shims ,100567607 + shims ,100883098 + shims ,N/A ,N/A ,N/A ,2-035 ,100362894,100233372,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Maximus Protector
(FS) MaxJoint ",540,1.18,Maximus Protector (FS) MaxJoint ,540 ; 540/562 ,1.18,100191221 + shims ,100781528 + shims ,DNE ,N/A ,N/A ,N/A ,2-237 ,1042605,812776,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
