"AGH LT (FS)
AGH LT (FS) ,538/540 ,1,"Maximus Protector (FS)
MaxJoint ",540/540 ,1.18,DNE ,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
AGH LT (FS) ,538/540 ,1,"Maximus Protector (FS)
MaxJoint ",540/562 ,1.18,DNE ,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
AGH LT ,540/540 ,1,"Maximus Protector UT
(FS) MaxJoint ",400/400 ,0.87,DNE ,DNE ,DNE ,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
AGH LT ,540/540 ,1,"Maximus Protector S/LT
(FS) MaxJoint ",400/456 ,0.87,DNE ,DNE ,DNE ,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
AGH LT ,540/540 ,1,"Maximus Protector (FS)
MaxJoint ",540/540 ,1.18,DNE ,DNE ,101441669 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
AGH LT ,540/540 ,1,"Maximus Protector (FS)
MaxJoint ",540/562 ,1.18,DNE ,DNE ,101441669 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
AGH LT ,562/540 ,1.18,"Maximus Protector (FS)
MaxJoint ",540/540 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
AGH LT ,562/540 ,1.18,"Maximus Protector (FS)
MaxJoint ",540/562 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
AGH LT ,675/562/540 ,1.18,"Maximus Protector (FS)
MaxJoint ",540/540 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
AGH LT ,675/562/540 ,1.18,"Maximus Protector (FS)
MaxJoint ",540/562 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
AGH LT ,725/562/540 ,1.18,"Maximus Protector (FS)
MaxJoint ",540/540 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
AGH LT ,725/562/540 ,1.18,"Maximus Protector (FS)
MaxJoint ",540/562 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
AGH LT ,862/562/540 ,1.18,"Maximus Protector (FS)
MaxJoint ",540/540 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
AGH LT ,862/562/540 ,1.18,"Maximus Protector (FS)
MaxJoint ",540/562 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
AGH LT ,862/562/738 ,1.18,"Maximus Protector (FS)
MaxJoint ",540/540 ,1.18,100772363 + shims ,DNE ,DNE ,N/A ,84293,892737,N/A ,N/A ,N/A ,0256503 (13) 0068973 (11) ,0307017 (13) 0307223 (11) ,0210484 (13) 0118190 (11) ,0310094 (13) 0310086 (11) ,13/16 5/8 ,60 26
AGH LT ,862/562/738 ,1.18,"Maximus Protector (FS)
MaxJoint ",540/562 ,1.18,100772363 + shims ,DNE ,DNE ,N/A ,84293,892737,N/A ,N/A ,N/A ,0256503 (13) 0068973 (11) ,0307017 (13) 0307223 (11) ,0210484 (13) 0118190 (11) ,0310094 (13) 0310086 (11) ,13/16 5/8 ,60 26
AGH LT ,862/738 ,1.37,"Maximus Protector (FS)
MaxJoint ",540/540 ,1.18,101016221,DNE ,DNE ,N/A ,84293,892737,N/A ,N/A ,N/A ,0256503 (13) 0068973 (11) ,0307017 (13) 0307223 (11) ,0210484 (13) 0118190 (11) ,0310094 (13) 0310086 (11) ,13/16 5/8 ,60 26
AGH LT ,862/738 ,1.37,"Maximus Protector (FS)
MaxJoint ",540/562 ,1.18,101016221,DNE ,DNE ,N/A ,84293,892737,N/A ,N/A ,N/A ,0256503 (13) 0068973 (11) ,0307017 (13) 0307223 (11) ,0210484 (13) 0118190 (11) ,0310094 (13) 0310086 (11) ,13/16 5/8 ,60 26
Intake ,338/375 ,0.68,"Maximus Protector (FS)
MaxJoint ",375/325/375 ,0.75,100358622 + shims ,100752614 + shims ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake (FS) ,338/375 ,0.68,"Maximus Protector (FS)
MaxJoint ",375/325/375 ,0.75,101115870,101115871,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,387/387 ,0.87,"Maximus Protector (FS)
MaxJoint ",375/325/375 ,0.75,100354831,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake (FS) ,387/387 ,0.87,"Maximus Protector (FS)
MaxJoint ",375/325/375 ,0.75,100895259,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,387/387 ,0.87,"Maximus Protector UT
(FS) MaxJoint ",387/387 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake (FS) ,387/387 ,0.87,"Maximus Protector UT
(FS) MaxJoint ",387/387 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,387/387 ,0.87,"Maximus Protector S/LT
(FS) MaxJoint ",387/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake (FS) ,387/387 ,0.87,"Maximus Protector S/LT
(FS) MaxJoint ",387/456 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,387/387 ,0.87,"Maximus ProMotor
S & UT (FS) MaxJoint ",387/456 ,0.87/1.18 ,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake (FS) ,387/387 ,0.87,"Maximus ProMotor
S & UT (FS) MaxJoint ",387/456 ,0.87/1.18 ,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,387/387 ,0.87,"Maximus Protector UT
(FS) MaxJoint ",400/400 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake (FS) ,387/387 ,0.87,"Maximus Protector UT
(FS) MaxJoint ",400/400 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,387/387 ,0.87,"Maximus Protector S/LT
(FS) MaxJoint ",400/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake (FS) ,387/387 ,0.87,"Maximus Protector S/LT
(FS) MaxJoint ",400/456 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,400/400 ,0.87,"Maximus Protector (FS)
MaxJoint ",375/325/375 ,0.75,100354831,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Intake
Ext Hd ",400/400 ,0.87,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100354831,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake (FS) ,400/400 ,0.87,"Maximus Protector (FS)
MaxJoint ",375/325/375 ,0.75,100895259,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Intake (FS)
Ext Hd ",400/400 ,0.87,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100895259,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,400/400 ,0.87,"Maximus Protector UT
(FS) MaxJoint ",387/387 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Intake
Ext Hd ",400/400 ,0.87,Maximus Protector UT (FS) MaxJoint ,387/387 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake (FS) ,400/400 ,0.87,"Maximus Protector UT
(FS) MaxJoint ",387/387 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Intake (FS)
Ext Hd ",400/400 ,0.87,Maximus Protector UT (FS) MaxJoint ,387/387 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,400/400 ,0.87,"Maximus Protector S/LT (FS)
MaxJoint ",387/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Intake
Ext Hd ",400/400 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,387/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake (FS) ,400/400 ,0.87,"Maximus Protector S/LT (FS)
MaxJoint ",387/456 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Intake (FS)
Ext Hd ",400/400 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,387/456 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,400/400 ,0.87,"Maximus ProMotor
S & UT (FS) MaxJoint ",387/456 ,0.87/1.18 ,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Intake
Ext Hd ",400/400 ,0.87,S & UT (FS) MaxJoint Maximus ProMotor ,387/456 ,0.87/1.18 ,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake (FS) ,400/400 ,0.87,"Maximus ProMotor
S & UT (FS) MaxJoint ",387/456 ,0.87/1.18 ,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Intake (FS)
Ext Hd ",400/400 ,0.87,S & UT (FS) MaxJoint Maximus ProMotor ,387/456 ,0.87/1.18 ,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,400/400 ,0.87,"Maximus Protector UT
(FS) MaxJoint ",400/400 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Intake
Ext Hd ",400/400 ,0.87,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake (FS) ,400/400 ,0.87,"Maximus Protector UT
(FS) MaxJoint ",400/400 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Intake
Ext Hd (FS) ",400/400 ,0.87,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,400/400 ,0.87,"Maximus Protector S/LT
(FS) MaxJoint ",400/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Intake
Ext Hd ",400/400 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake (FS) ,400/400 ,0.87,"Maximus Protector S/LT
(FS) MaxJoint ",400/456 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"Intake
Ext Hd (FS) ",400/400 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,400/400 ,0.87,"Maximus Protector (FS)
MaxJoint ",540/540 ,1.18,100758931 + shims ,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
"Intake
Ext Hd ",400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100758931 + shims ,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
Intake (FS) ,400/400 ,0.87,"Maximus Protector (FS)
MaxJoint ",540/540 ,1.18,100758931,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
"Intake
Ext Hd (FS) ",400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100758931,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
Intake ,400/400 ,0.87,"Maximus Protector (FS)
MaxJoint ",540/562 ,1.18,100758931 + shims ,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
"Intake
Ext Hd ",400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100758931 + shims ,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
Intake (FS) ,400/400 ,0.87,"Maximus Protector (FS)
MaxJoint ",540/562 ,1.18,100758931,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
"Intake
Ext Hd (FS) ",400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100758931,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
Intake ,400/540 ,0.87,"Maximus Protector (FS)
MaxJoint ",540/540 ,1.18,100861269 + shims ,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
Intake (FS) ,400/540 ,0.87,"Maximus Protector (FS)
MaxJoint ",540/540 ,1.18,100861269,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
Intake ,400/540 ,0.87,"Maximus Protector (FS)
MaxJoint ",540/562 ,1.18,100861269 + shims ,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
Intake (FS) ,400/540 ,0.87,"Maximus Protector (FS)
MaxJoint ",540/562 ,1.18,100861269,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
Intake ,540/400 ,0.87,"Maximus Protector UT
(FS) MaxJoint ",400/400 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,540/400 ,0.87,"Maximus Protector S/LT
(FS) MaxJoint ",400/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
Intake ,540/540 ,1.18,"Maximus Protector UT
(FS) MaxJoint ",400/400 ,0.87,101399628 + shims ,DNE ,101399639 + shim ,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
