no,sname,ps,sd,sname2,ps2,sd2,cpl,cpl_inc625,cpl_inc718,sa,csfa,rfa,osize,oaflas,ohsn,css,cslw,ms,mlw,sw,trq
90,Intake ,540/540 ,1.18,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,101399628 + shims ,DNE ,101399639 + shim ,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
91,Intake (FS) ,540/540 ,1.18,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,101399628,DNE ,101399639,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
92,Intake ,540/540 ,1.18,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,101399628 + shims ,DNE ,101399639 + shim ,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
93,Intake (FS) ,540/540 ,1.18,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,101399628,DNE ,101399639,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
94,Intake ,540/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
95,Intake (FS) ,540/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100858114,101341068,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
96,Intake ,540/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
97,Intake (FS) ,540/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100858114,101341068,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
98,Intake ,562/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
99,Intake (FS) ,562/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100858114,101341068,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
100,Intake ,562/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
101,Intake (FS) ,562/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100858114,101341068,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
102,Intake ,675/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
103,Intake (FS) ,675/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100280065,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
104,Intake ,675/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
105,Intake (FS) ,675/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100280065,DNE ,100910661,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
106,Gas Separator ,338/375 ,0.68,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100358622 + shims ,100752614 + shims ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
107,Gas Separator (FS) ,338/375 ,0.68,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,101115870,101115871,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
108,Gas Separator ,387/387 ,0.87,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100354831,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
109,Gas Separator (FS) ,387/387 ,0.87,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100895259,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
110,Gas Separator ,387/387 ,0.87,Maximus Protector UT (FS) MaxJoint ,387/387 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
111,Gas Separator (FS) ,387/387 ,0.87,Maximus Protector UT (FS) MaxJoint ,387/387 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
112,Gas Separator Ext Hd ,387/387 ,0.87,Maximus Protector UT (FS) MaxJoint ,387/387 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
113,Gas Separator Ext Hd (FS) ,387/387 ,0.87,Maximus Protector UT (FS) MaxJoint ,387/387 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
114,Gas Separator ,387/387 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,387/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
115,Gas Separator (FS) ,387/387 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,387/456 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
116,Gas Separator Ext Hd ,387/387 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,387/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
117,Gas Separator Ext Hd (FS) ,387/387 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,387/456 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
118,Gas Separator ,387/387 ,0.87,Maximus ProMotor S & UT (FS) MaxJoint ,387/456 ,0.87/1.18 ,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
119,Gas Separator (FS) ,387/387 ,0.87,S & UT (FS) MaxJoint Maximus ProMotor ,387/456 ,0.87/1.18 ,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
120,Gas Separator Ext Hd ,387/387 ,0.87,S & UT (FS) MaxJoint Maximus ProMotor ,387/456 ,0.87/1.18 ,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
121,Gas Separator Ext Hd (FS) ,387/387 ,0.87,S & UT (FS) MaxJoint Maximus ProMotor ,387/456 ,0.87/1.18 ,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
122,Gas Separator ,387/387 ,0.87,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
123,Gas Separator (FS) ,387/387 ,0.87,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
124,Gas Separator Ext Hd ,387/387 ,0.87,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
125,Gas Separator Ext Hd (FS) ,387/387 ,0.87,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
126,Gas Separator ,387/387 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
127,Gas Separator (FS) ,387/387 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
128,Gas Separator Ext Hd ,387/387 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
129,Gas Separator Ext Hd (FS) ,387/387 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
130,Gas Separator ,400/375 ,0.87,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100354831,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
131,Gas Separator (FS) ,400/375 ,0.87,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100895259,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
132,Gas Separator ,400/400 ,0.87,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100354831,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
133,Gas Separator (FS) ,400/400 ,0.87,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100895259,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
134,Gas Separator ,400/400 ,0.87,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
135,Gas Separator Ext Hd (FS) ,400/400 ,0.87,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
136,Gas Separator ,400/400 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 +shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
137,Gas Separator Ext Hd (FS) ,400/400 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,100288502,100567610,100883087,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
138,Gas Separator ,400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100758931 + shims ,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
139,Gas Separator ,400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100758931 + shims ,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
140,Gas Separator Ext Hd ,400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100758931 + shims ,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
141,Gas Separator Ext Hd ,400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100758931 + shims ,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
142,Gas Separator (FS) ,400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100758931,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
143,Gas Separator (FS) ,400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100758931,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
144,Gas Separator Ext Hd (FS) ,400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100758931,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
145,Gas Separator Ext Hd (FS) ,400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100758931,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
146,Gas Separator ,400/540 ,0.87/1.18 ,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
147,Gas Separator ,400/540 ,0.87/1.18 ,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
148,Gas Separator ,538/540 ,1.18,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,101399628 + shims ,DNE ,101399639 + shim ,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
149,Gas Separator (FS) ,538/540 ,1.18,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,101399628,DNE ,101399639,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
150,Gas Separator ,538/540 ,1.18,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,101399628 + shims ,DNE ,101399639 + shim ,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
151,Gas Separator (FS) ,538/540 ,1.18,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,101399628,DNE ,101399639,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
152,Gas Separator ,538/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
153,Gas Separator (FS) ,538/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100858114,101341068,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
154,Gas Separator ,538/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
155,Gas Separator (FS) ,538/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100858114,101341068,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
156,Gas Separator ,540/540 ,1.18,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,101399628 + shims ,DNE ,101399639 + shim ,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
157,Gas Separator (FS) ,540/540 ,1.18,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,101399628,DNE ,101399639,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
158,Gas Separator ,540/540 ,1.18,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,101399628 + shims ,DNE ,101399639 + shim ,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26
159,Gas Separator (FS) ,540/540 ,1.18,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,101399628,DNE ,101399639,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
160,Gas Separator ,540/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
161,Gas Separator (FS) ,540/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100858114,101341068,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
162,Gas Separator ,540/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
163,Gas Separator (FS) ,540/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100858114,101341068,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
164,Gas Separator ,675/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
165,Gas Separator (FS) ,675/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100280065,DNE ,100910661,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
166,Gas Separator ,675/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100280065 + shims ,DNE ,100910661 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
167,Gas Separator (FS) ,675/540 ,1.18,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100280065,DNE ,100910661,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
168,MGH LT Ext Hd ,387/375 ,0.87,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100354831 + shims ,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
169,MGH LT Ext Hd ,400/375 ,0.87,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100354831 + shims ,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
170,MGH LT Ext Hd ,387/375 ,0.87,Maximus Protector UT (FS) MaxJoint ,387/387 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
171,MGH LT Ext Hd ,400/375 ,0.87,Maximus Protector UT (FS) MaxJoint ,387/387 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
172,MGH LT Ext Hd ,387/375 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,387/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
173,MGH LT Ext Hd ,400/375 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,387/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
174,MGH LT Ext Hd ,387/375 ,0.87,S & UT (FS) MaxJoint Maximus ProMotor ,387/456 ,0.87/1.18 ,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
175,MGH LT Ext Hd ,400/375 ,0.87,S & UT (FS) MaxJoint Maximus ProMotor ,387/456 ,0.87/1.18 ,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
176,MGH LT Ext Hd ,387/375 ,0.87,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
177,MGH LT Ext Hd ,400/375 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,400/400 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
178,MGH LT Ext Hd ,387/375 ,0.87,Maximus Protector UT (FS) MaxJoint ,400/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
