ps,sd,ps2,sd2,osize,oaflas,ohsn,cpl,css,cslw,ms,mlw,sw,trq
400 (FS) ,0.87,400 (FS) ,0.87,2-228 ,1042563,826263,"100134735
100571889 (INC-625)
101049669 (INC-718)",89268 (8) ,306985 (8) ,846162 (8) ,310078 (8) ,01-Feb,12
400,0.87,400 (FS) ,0.87,2-228 ,1042563,826263,"100134735
100571889 (INC-625)
+ shims",89268 (8) ,306985 (8) ,846162 (8) ,310078 (8) ,01-Feb,12
400 (FS) ,0.87,400,0.87,2-228 ,1042563,826263,"100134735
100571889 (INC-625)
+ shims",89268 (8) ,306985 (8) ,846162 (8) ,310078 (8) ,01-Feb,12
400 Ext Sft ,0.87,400 Ext Hd ,0.87,2-228 ,1042563,826263,"178301
100567606 (INC-625)
100883101 (INC-718)",72827 (8) ,307041 (8) ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 Ext Sft (FS) ,0.87,400 Ext Hd (FS) ,0.87,2-228 ,1042563,826263,"100571889 (INC-625) 100134735
101049669 (INC-718)",72827 (8) ,307041 (8) ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 Ext Sft ,0.87,400 Ext Hd (FS) ,0.87,2-228 ,1042563,826263,"100134735
100571889 (INC-625)
+ shims",72827 (8) ,307041 (8) ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 Ext Sft (FS) ,0.87,400 Ext Hd ,0.87,2-228 ,1042563,826263,"100134735
100571889 (INC-625)
+ shims",72827 (8) ,307041 (8) ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
450,0.75,450,0.75,2-231 ,1042589,831248,156620,68973 (6) ,307223 (6) ,118190 (6) ,310086 (6) ,05-Aug,26
450,0.87,450,0.87,2-231 ,1042589,831248,"178301
100567606 (INC-625)
100883101 (INC-718)",68973 (6) ,307223 (6) ,118190 (6) ,310086 (6) ,05-Aug,26
538/540 ,0.87,538/540 ,0.87,2-237 ,1042605,812776,"178301
100567606 (INC-625)
100883101 (INC-718)",68973 (11) ,307223 (11) ,118190 (11) ,310086 (11) ,05-Aug,26
